시간|이름|ID|타입|이동체크기(m)|x좌표|y좌표|이동속도(knot)|방향각|이동면적(m2)|전체면적(m2)|MPI
2021-05-09 23:48:11|아라곤1호|111|정사각형|8.0|184.0929976674348|389.9875149245705|42.0|77.0|3489.6896000000006|1000|3.489689600000000613277961747371591627597808837890625
2021-05-09 23:48:12|아라곤1호|111|정사각형|8.0|188.69183793897096|411.62335733472173|43.0|78.0|3666.643200000001|1000|3.6666432000000011015572454198263585567474365234375
2021-05-09 23:48:13|아라곤1호|111|정사각형|8.0|193.01053241672554|433.8411143540028|44.0|79.0|3847.712000000001|1000|3.847712000000000909238906388054601848125457763671875
2021-05-09 23:48:14|아라곤1호|111|정사각형|8.0|197.03014043335963|456.6374442207294|45.0|80.0|4032.8960000000006|1000|4.03289600000000092450136435218155384063720703125
2021-05-09 23:48:15|아라곤1호|111|정사각형|8.0|200.73175531892758|480.00852081122775|46.0|81.0|4222.1952|1000|4.2221951999999998150769897620193660259246826171875
2021-05-09 23:48:16|아라곤1호|111|정사각형|8.0|204.09651554621888|503.95003385557897|47.0|82.0|4415.6096|1000|4.415609599999999801411831867881119251251220703125
2021-05-09 23:48:17|아라곤1호|111|정사각형|8.0|207.10561587810406|528.4571893949852|48.0|83.0|4613.1392000000005|1000|4.6131392000000008835058906697668135166168212890625
2021-05-09 23:48:18|아라곤1호|111|정사각형|8.0|209.7403185118432|553.5247104808798|49.0|84.0|4814.784000000001|1000|4.81478400000000039682390706730075180530548095703125
2021-05-09 23:48:19|아라곤1호|111|정사각형|8.0|211.98196421531298|579.1468381157995|50.0|85.0|5020.544000000001|1000|5.020544000000001005901140160858631134033203125
2021-05-09 23:48:20|아라곤1호|111|정사각형|8.0|213.7761007200119|604.8041854884822|50.0|86.0|5226.304000000001|1000|5.2263040000000007267999535542912781238555908203125
2021-05-09 23:48:21|아라곤1호|111|정사각형|8.0|215.1221815145804|630.4889371223699|50.0|87.0|5432.064000000001|1000|5.43206400000000133587718664784915745258331298828125
